Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Age_Scores,Pages,Keywords,Gender,Age,month
2024,1,가정과 살림,오늘은 아무래도 덮밥,이마이 료 저/이진숙 역,참돌,3960,2020년 06월,62679,9.1,"{'10대': 0.0, '20대': 7.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",112,"['#십대', '#사춘기']",1,40,6
2024,1,가정과 살림,그림육아의 힘,김선현 저,쌤앤파커스,16650,2024년 06월,9054,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",288,"['#책읽아웃', '#독서력키우기', '#공부도힙하게', '#초중등인문학', '#자녀교육']",1,40,6
2024,1,가정과 살림,사춘기 멘탈 수업,박상윤 저,봄빛서원,15750,2023년 06월,13359,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",272,"['#얼리리더', '#유튜버의책', '#다이어트', '#다이어트식단', '#올해는다이어트성공할래']",1,40,6
2024,1,가정과 살림,공부머리 독서법,최승필 저,책구루,14850,2018년 05월,25128,9.6,"{'10대': 10.0, '20대': 8.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",344,['#이달의굿즈'],1,40,6
2024,1,가정과 살림,디디미니의 맛있어서 평생 습관 되는 다이어트 레시피,미니 박지우 저,빅피시,19800,2024년 06월,16326,10,{},228,"['#건강한삶', '#건강한식사', '#건강식']",1,40,6
2024,1,가정과 살림,백일 편지,김호진 저,펜타클,16020,2024년 06월,19902,10,{},320,"['#아이와함께읽기좋은책', '#책과함께놀아요']",1,40,6
2024,1,가정과 살림,50이면 육아가 끝날 줄 알았다,"로렌스 스타인버그 저/김경일, 이은경 역",저녁달,17820,2024년 02월,15588,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",368,"['#초등부모노하우', '#대학입시', '#의대입시', '#공부법', '#공부법을공부하는부모']",1,40,6
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,"{'10대': 0.0, '20대': 8.0, '30대': 10.0, '40대': 8.0, '50대': 10.0}",260,"['#집밥레시피', '#반찬고민']",1,50,6
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,"{'10대': 0.0, '20대': 10.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",288,"['#엄마가된다는것', '#엄마는처음이라', '#초보엄마', '#자녀교육']",1,50,6
2024,1,가정과 살림,홀썸의 집밥 예찬,홀썸모먼트 저,다산라이프,22500,2024년 05월,63837,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",336,"['#웰니스', '#건강한식사', '#건강식', '#집밥레시피', '#간편요리']",1,50,6
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,10,{},213,"['#이달의굿즈', '#셰프의레시피', '#유튜버의책', '#유튜브인기레시피', '#집밥레시피']",1,50,6
2024,1,가정과 살림,라키비움J 블루,"전은주, 표유진, 오현수, 이미리, 이시내 저 외 3명 정보 더 보기/감추기",제이포럼,17100,2024년 07월,4200,10,{},224,"['#내손에잡지', '#참여형그림책', '#그림책읽는어른들에게', '#그림책으로하는수업']",1,50,6
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",276,"['#얼리리더', '#공부법', '#효과적인공부법', '#초등부터고등까지', '#국어공부']",1,50,6
2024,1,가정과 살림,김대석 셰프의 집밥 레시피,김대석 저,경향비피,16200,2023년 04월,26460,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",203,['#크레마클럽에있어요'],1,50,6
2024,1,가정과 살림,부모의 어휘력,김종원 저,카시오페아,17100,2024년 06월,40947,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 0.0}",312,"['#얼리리더', '#자녀와의대화', '#부모교육', '#부모가된다는것']",1,50,6
2024,1,가정과 살림,스스로 해내는 아이의 비밀,김보경 저,제이포럼,16650,2024년 06월,24369,9.8,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",320,"['#현실육아', '#습관만들기', '#좋은습관']",1,50,6
