Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Pages,Gender,Age,month,Publish_Month,Page_cat,Price_cat
2024,1,가정과 살림,임신 출산 육아 대백과 최신개정판,편집부 저,삼성출판사,17550,2023년 08월,106542,9.3,432,0,20,6,8,400+,17500-20000
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,260,0,20,6,2,250-300,15000-17500
2024,1,가정과 살림,한 달에 10만원 도시락 만들기,이슬비 저,길벗,16920,2024년 06월,18552,9.9,244,0,20,6,6,200-250,15000-17500
2024,1,가정과 살림,김대석 셰프의 집밥 레시피,김대석 저,경향비피,16200,2023년 04월,26460,9.8,203,0,20,6,4,200-250,15000-17500
2024,1,가정과 살림,시니맘의 참 잘 먹는 10분 유아식,시니맘 저,서사원,16920,2024년 07월,14940,10,232,0,20,6,7,200-250,15000-17500
2024,1,가정과 살림,오늘의 샐러드,박선영 저,리스컴,9000,2024년 07월,600,10,128,0,20,6,7,0-200,0-10000
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,9.6,213,0,20,6,7,200-250,15000-17500
2024,1,가정과 살림,임신 출산 미리보기,이재일 저,유노라이프,16200,2024년 05월,1902,9.7,288,0,20,6,5,250-300,15000-17500
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,10,288,0,20,6,5,250-300,15000-17500
2024,1,가정과 살림,나만의 디저트 레시피를 구상하는 방법 + 디저트 페어링 북 세트,김동석 저,더테이블,53100,2024년 05월,6867,10,656,0,20,6,5,400+,25000+
2024,1,가정과 살림,신의 칵테일 300,마스터 이에쓰네 저/김수정 역,시그마북스,18000,2024년 05월,978,9.8,232,0,20,6,5,200-250,17500-20000
2024,1,가정과 살림,요리는 소스빨,소연남 저,페이퍼버드,16200,2024년 04월,5394,9.8,256,0,20,6,4,250-300,15000-17500
2024,1,가정과 살림,세계사를 바꾼 맥주 이야기,무라카미 미쓰루 저/김수경 역,사람과나무사이,18000,2024년 04월,3126,10,413,0,20,6,4,400+,17500-20000
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,9.8,276,0,20,6,3,250-300,15000-17500
2024,1,가정과 살림,우리동네 어린이병원 육아대백과,손수예. 박소영 저,청림Life,24300,2024년 03월,29742,9.9,488,0,20,6,3,400+,20000-25000
2024,1,가정과 살림,50이면 육아가 끝날 줄 알았다,로렌스 스타인버그 저/김경일. 이은경 역,저녁달,17820,2024년 02월,15588,10,368,0,20,6,2,350-400,17500-20000
